Tm;Player;Age;PER;points;rebounds;assists;steals;blocks
NOJ;Truck Robinson;26;1;17;6.8;0.9;1.1;
BUF;Randy Smith;29;13;5;22.2;2.4;0.2;
WSB;Elvin Hayes;32;78;16.4;6.5;1.3;2.4;
BOS;Dave Cowens;29;14;17;15.7;1.4;1.1;
NYK;Bob McAdoo;26;75;16.4;13.4;1.4;2;
NJN;Bernard King;21;82;11.8;9.9;1.7;0.6;
CHI;Artis Gilmore;28;88;19;14;0.6;3.2;
DEN;David Thompson;23;82;6.6;19.3;1.3;1.7;
GSW;Rick Barry;33;60;7.5;22.6;2.4;0.8;
IND;Ricky Sobers;25;11;5.3;27.7;2.5;0.4;
KCK;Scott Wedman;25;43;8;9.7;1.5;0.4;
GSW;Phil Smith;25;49;5.2;19.6;1.7;0.5;
HOU;John Lucas;24;46;4.6;34.8;2.6;0.2;
SEA;Marvin Webster;25;55;18.1;9.6;0.8;3;
CLE;Jim Chones;28;88;14.7;6.5;0.8;1;
HOU;Calvin Murphy;29;34;3;14.9;1.8;0.1;
CHI;Wilbur Holland;26;35;5.6;16.8;2.7;0.3;
CHI;Mickey Johnson;25;69;14;14.4;1.5;1.3;
SAS;Larry Kenon;25;85;14.1;13.1;1.8;0.4;
SAS;George Gervin;25;81;7.7;16.1;2.1;1.9;
DEN;Dan Issel;29;13;14.9;16.1;1.6;0.7;
BOS;John Havlicek;37;18;6;17.1;1.5;0.4;
DEN;Bob Wilkerson;23;76;8.8;20.9;2;0.4;
LAL;Norm Nixon;22;67;4.4;26;2.2;0.1;
BUF;Swen Nater;28;70;19.9;11.4;0.7;0.9;
WSB;Bob Dandridge;30;20;7.9;14.7;1.6;0.8;
IND;Mike Bantom;26;92;10.7;12.2;1.6;0.9;
PHI;Doug Collins;26;33;4.2;16.9;2;0.5;
MIL;Marques Johnson;21;93;16.2;9.5;1.5;1.9;
MIL;Brian Winters;25;80;4.8;20.2;2;0.5;
POR;Lionel Hollins;24;83;5.3;19.6;2.6;0.6;
NJN;Kevin Porter;27;54;3.6;41.9;1.9;0.3;
KCK;Ron Boone;31;55;5.2;16.8;1.8;0.2;
WSB;Wes Unseld;31;74;17.9;15.3;1.6;0.8;
PHO;Walter Davis;23;1;9.6;16.5;1.9;0.4;
DET;Chris Ford;29;85;5.4;19.7;2.9;0.3;
SEA;Gus Williams;24;61;5.1;18;3.3;0.9;
DET;Eric Money;22;45;4.3;21.1;2.1;0.2;
DET;M.L. Carr;27;31;11.4;9.8;2.6;0.5;
NOJ;Gail Goodrich;34;52;3.3;21.8;1.4;0.4;
PHO;Don Buse;27;33;5;18.5;3.1;0.3;
PHI;George McGinnis;27;78;16.2;17;2.4;0.5;
ATL;Armond Hill;24;55;5;23.4;2.8;0.4;
CHI;Norm Van Lier;30;13;6.1;27.6;2.7;0.1;
CLE;Campy Russell;26;22;9.2;16.4;1.6;0.2;
PHI;Henry Bibby;28;26;5;23;1.6;0.1;
CLE;Foots Walker;26;62;6;23.7;3.3;0.5;
PHO;Paul Westphal;27;51;3.4;28.5;2.4;0.6;
SAS;Billy Paultz;29;39;14.3;11.5;0.7;3.8;
